"Espèces","Famille","Date","Nombre d'espèce","Prélèvement","Fungarium","N° Exsiccata","Récolteur(s)","Déterminateur(s)","Légataire récolte","Site","Fiabilité détermination","Commentaire","date_obs","nombre_espece_num"
"Entoloma sericellum ?","Entolomataceae","16/11/2025","2","Oui","Oui","RNNCA-P08-161125-003","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 8","","A déterminer en microscopie pour avoir une certitude : Pas Entoloma !",2025-11-16,2
"Mycena stylobates ?","Mycenaceae","16/11/2025","1","Oui","Oui","RNNCA-P03-161125-003","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 3","","A déterminer en microscopie pour avoir une certitude",2025-11-16,1
"Volvopluteus gloiocephalus","Pluteaceae","16/11/2025","1","Oui","Oui","RNNCA-P03-161125-002","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 3","Certaine","",2025-11-16,1
"Cuphophyllus virgineus","Hygrophoraceae","16/11/2025","30","Oui","Oui","RNNCA-P03-161125-001","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 3","Probable","",2025-11-16,30
"Hygrocybe conica","Hygrophoraceae","16/11/2025","1","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 16","Probable","Individu déjà très dégradé.",2025-11-16,1
"Cuphophyllus flavipes","Hygrophoraceae","16/11/2025","1","Oui","Oui","RNNCA-P16-161125-001","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 16","Probable","",2025-11-16,1
"Cuphophyllus virgineus","Hygrophoraceae","16/11/2025","1","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 16","Probable","Déjà prélevé en 2024, peu d’individus présents.",2025-11-16,1
"Hygrocybe conica","Hygrophoraceae","16/11/2026","5","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 16","Probable","Individus déjà très dégradés.",2026-11-16,5
"Hebeloma sp","Strophariaceae","16/11/2025","1","Oui","Oui","RNNCA-P18-161125-001","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 18","","A déterminer (genre très compliqué, probabilité de séquençage)",2025-11-16,1
"Hygrocybe euroflavescens","Hygrophoraceae","16/11/2025","1","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 16","Probable","Non prélevé car seul exemplaire.",2025-11-16,1
"Trametes pubescens","Polyporaceae","16/11/2025","12","Oui","Oui","RNNCA-P19-161125-001","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 19","Certaine","",2025-11-16,12
"Hygrocybe euroflavescens","Hygrophoraceae","16/11/2025","1","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 20","Probable","Non prélevé car seul exemplaire et dégradé.",2025-11-16,1
"Tapinella panuoides ?","Tapinellaceae","29/11/2025","3","Oui","Oui","RNNCA-P20-291125-003","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 20","","Sporée brune. Micro à effectuer pour confirmer",2025-11-29,3
"Hygrocybe conica","Hygrophoraceae","16/11/2025","1","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 20","Probable","Individus dégradés, trop peu nombreux.",2025-11-16,1
"Cuphophyllus virgineus","Hygrophoraceae","16/11/2025","2","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 20","Probable","Individus abîmés, trop peu nombreux pour un prélèvement.",2025-11-16,2
"Tubaria furfuracea ou Galerina vittiformis","Tubariaceae","29/11/2025","4","Oui","Oui","RNNCA-P20-291125-002","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 20","","",2025-11-29,4
"Cuphophyllus virgineus","Hygrophoraceae","29/11/2025","3","Oui","Oui","RNNCA-P20-291125-001","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 20","Probable","",2025-11-29,3
"Cuphophyllus russocoriacea","Hygrophoraceae","29/11/2025","1","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 20","Probable","",2025-11-29,1
"Hygrocybe conica","Hygrophoraceae","29/11/2025","5","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 20","Probable","Individus complètement noircis, dégradés.",2025-11-29,5
"Mycena leptocephala","Mycenaceae","29/11/2026","1","Oui","Oui","RNNCA-P19-291125-001","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 19","Probable","",2026-11-29,1
"Hygrocybe conica","Hygrophoraceae","29/11/2026","5","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 16","Probable","Individus déjà très dégradés.",2026-11-29,5
"Clitocybe fragrans","Clitocybaceae","29/11/2026","1","Oui","Oui","RNNCA-P13-291125-001","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 13","Probable","",2026-11-29,1
"Cuphophyllus virgineus","Hygrophoraceae","29/11/2026","1","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 4","Probable","",2026-11-29,1
"Hygrocybe euroflavescens","Hygrophoraceae","29/11/2025","1","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 4","Probable","Non prélevé car très dégradés.",2025-11-29,1
"Hygrocybe conica","Hygrophoraceae","29/11/2025","2","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 4","Probable","Individus très dégradés, noircis.",2025-11-29,2
"Cuphophyllus virgineus","Hygrophoraceae","29/11/2026","1","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 5","Probable","",2026-11-29,1
"Cuphophyllus russocoriacea","Hygrophoraceae","29/11/2026","1","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 5","Probable","",2026-11-29,1
"Collybia sordida","Clitocybaceae","29/11/2026","1","Oui","Oui","RNNCA-P05-291125-001","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 5","Probable","",2026-11-29,1
"Cuphophyllus russocoriacea","Hygrophoraceae","29/11/2026","1","Oui","Oui","RNNCA-P03-291125-001","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 3","Probable","",2026-11-29,1
"Lepista sordida","Tricholomataceae","18/12/2025","2","Oui","Oui","RNNCA-P05-181225-001","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 5","Probable","",2025-12-18,2
"Panaeolus foenisecii","Galeropsidaceae","18/12/2025","5","Oui","Oui","RNNCA-P05-181225-002","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 5","Probable","",2025-12-18,5
"Volvopluteus gloiocephalus","Pluteaceae","18/12/2025","1","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 3","Certaine","",2025-12-18,1
"Stereum hirsutum ","Stereaceae","18/12/2025","12","Oui","Oui","RNNCA-P03-181225-001","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 3","Certaine","",2025-12-18,12
"Mycena galericulata","Mycenaceae","18/12/2025","1","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 3","Probable","",2025-12-18,1
"Panaeolus foenisecii","Galeropsidaceae","18/12/2025","4","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 3","Probable","",2025-12-18,4
"Tubaria furfuracea","Tubariaceae","18/12/2025","2","Oui","Oui","RNNCA-P01-181225-001","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 1","Probable","",2025-12-18,2
"Cuphophyllus virgineus","Hygrophoraceae","18/12/2025","2","Oui","Oui","RNNCA-P01-181225-002","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 1","Probable","",2025-12-18,2
"Tulostoma brumale","Tulostomataceae","18/12/2025","2","Oui","Oui","RNNCA-P01-181225-003","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 1","Certaine","",2025-12-18,2
"Hygrocybe cf calciphila","Hygrophoraceae","18/12/2025","2","Oui","Oui","RNNCA-P01-181225-004","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 1","Probable","",2025-12-18,2
"Hygrocybe insipida ","Hygrophoraceae","18/12/2025","1","Oui","Oui","RNNCA-P01-181225-005","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 1","Probable","",2025-12-18,1
"Conocybe tenera","Bolbitiaceae","18/12/2025","2","Oui","Oui","RNNCA-P02-181225-001","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 2","Probable","",2025-12-18,2
"Cuphophyllus virgineus","Hygrophoraceae","18/12/2025","4","Non","Non","","Eddy Boite","Eddy Boite","Eddy Boite","Pelouse 2","Probable","",2025-12-18,4
"Base de données mycologique (Portail national) : ","https://fongibase.fongifrance.fr/","","","","","","","","","","","",NA,NA
"Base de données mycologique (Portail Ile-de-France) : ","https://https://idf.fongifrance.fr","","(support@fongifrance.fr)","","","","","","","","","",NA,NA
"(Déclinaison régionale du portail national)","","","","","","","","","","","","",NA,NA
